text,iodine,vitamin_e,calcium,iron,riboflavin_b2,folate_b9,vitamin_c,vitamin_b6,vitamin_d,zinc
cracked lips sore throat no prior illness reported,0,0,0,0,1,0,0,0,0,0
weight gain hormone imbalance fatigue goiter thyroid swelling neck enlargement fatigue anemia low hemoglobin shortness of breath not bleeding gums weak immunity,1,0,0,1,0,0,0,0,0,0
confusion depression routine checkup,0,0,0,0,0,0,0,1,0,0
fatigue thyroid swelling hormone imbalance weight gain goiter muscle weakness vision problems sore throat eye irritation cracked lips fatigue mild headache after travel,1,1,0,0,1,0,0,0,0,0
skin rash cracked lips sore throat depression mood changes nerve issues confusion irritability no prior illness reported,0,0,0,0,1,0,0,1,0,0
without poor diet anemia fatigue fatigue dizziness,0,0,0,1,0,0,0,0,0,0
coordination issues vision problems nerve damage fatigue thyroid swelling hormone imbalance neck enlargement low sunlight muscle weakness fractures back pain bone pain,1,1,0,0,0,0,0,0,1,0
bleeding gums joint pain slow healing scurvy weak immunity routine checkup,0,0,0,0,0,0,1,0,0,0
scurvy weak immunity slow healing joint pain bone pain back pain fractures low sunlight muscle weakness skin rash eye irritation sore throat,0,0,0,0,1,0,1,0,1,0
tooth decay brittle nails joint stiffness muscle cramps bone weakness not poor immunity loss of appetite frequent infections hair loss bone pain low sunlight fractures patient visited clinic yesterday,0,0,1,0,0,0,0,0,1,0
no slow growth hair loss scurvy weak immunity slow healing neck enlargement weight gain hormone imbalance,1,0,0,0,0,0,1,0,0,0
thyroid swelling weight gain neck enlargement hormone imbalance goiter fatigue,1,0,0,0,0,0,0,0,0,0
weight gain goiter neck enlargement fatigue hair loss loss of appetite poor immunity frequent infections slow growth not fractures back pain low sunlight no prior illness reported,1,0,0,0,0,0,0,0,0,1
no weak immunity joint pain scurvy general discomfort,0,0,0,0,0,0,0,0,0,0
poor diet anemia pregnancy issues scurvy joint pain slow healing weak immunity fractures muscle weakness bone pain no prior illness reported,0,0,0,0,0,1,1,0,1,0
anemia poor diet fatigue mild headache after travel,0,0,0,0,0,1,0,0,0,0
back pain muscle weakness low sunlight bone pain brittle nails muscle cramps bone weakness joint stiffness tooth decay mild headache after travel,0,0,1,0,0,0,0,0,1,0
no dizziness low hemoglobin anemia shortness of breath fatigue pale skin poor diet pregnancy issues fatigue bone weakness joint stiffness muscle cramps tooth decay patient visited clinic yesterday,0,0,1,0,0,1,0,0,0,0
low hemoglobin pale skin dizziness anemia fatigue nerve damage vision problems immune weakness muscle weakness not slow healing joint pain bleeding gums scurvy weak immunity general discomfort,0,1,0,1,0,0,0,0,0,0
weak immunity scurvy bleeding gums no anemia weakness poor diet fatigue pregnancy issues patient visited clinic yesterday,0,0,0,0,0,0,1,0,0,0
mood changes depression nerve issues confusion irritability fatigue anemia pregnancy issues poor diet weakness routine checkup,0,0,0,0,0,1,0,1,0,0
